,molecule_chembl_id,target_chembl_id,target_pref_name,standard_type,standard_relation,standard_value,standard_units,assay_chembl_id,assay_type,assay_description,document_chembl_id,uniprot_id,target_pref_name.1,readout,doi,year,publication_date,smiles,pActivity
14,CHEMBL337159,CHEMBL4792,Orexin receptor type 2,IC50,=,1400.0,nM,CHEMBL757348,B,Inhibitory concentration against human orexin-2 receptor (hOX2R),CHEMBL1136503,O43614,Orexin receptor type 2,IC50,10.1016/j.bmcl.2003.08.038,2003,2003-12-01,COc1cc2c(cc1OC)CN(C(=O)[C@@H](NCc1ccccn1)C(C)(C)C)CC2,5.85387196432176
15,CHEMBL139083,CHEMBL4792,Orexin receptor type 2,IC50,=,56.0,nM,CHEMBL757348,B,Inhibitory concentration against human orexin-2 receptor (hOX2R),CHEMBL1136503,O43614,Orexin receptor type 2,IC50,10.1016/j.bmcl.2003.08.038,2003,2003-12-01,COc1cc2c(cc1OC)CN(C(=O)C(Cc1ccccc1)C(C)(C)C)CC2,7.2518119729938
16,CHEMBL139117,CHEMBL4792,Orexin receptor type 2,IC50,=,2100.0,nM,CHEMBL757348,B,Inhibitory concentration against human orexin-2 receptor (hOX2R),CHEMBL1136503,O43614,Orexin receptor type 2,IC50,10.1016/j.bmcl.2003.08.038,2003,2003-12-01,COc1cc2c(cc1OC)CN(C(=O)C(Nc1ccccc1)C(C)(C)C)CC2,5.67778070526608
17,CHEMBL444602,CHEMBL4792,Orexin receptor type 2,IC50,=,59.0,nM,CHEMBL757348,B,Inhibitory concentration against human orexin-2 receptor (hOX2R),CHEMBL1136503,O43614,Orexin receptor type 2,IC50,10.1016/j.bmcl.2003.08.038,2003,2003-12-01,COc1cc2c(cc1OC)CN(C(=O)[C@@H](NCc1nccs1)C(C)(C)C)CC2,7.22914798835786
18,CHEMBL139915,CHEMBL4792,Orexin receptor type 2,IC50,=,910.0,nM,CHEMBL757348,B,Inhibitory concentration against human orexin-2 receptor (hOX2R),CHEMBL1136503,O43614,Orexin receptor type 2,IC50,10.1016/j.bmcl.2003.08.038,2003,2003-12-01,COc1cc2c(cc1OC)CN(C(=O)C(NCc1ccccc1)C(C)(C)C)CC2,6.04095860767891
19,CHEMBL140348,CHEMBL4792,Orexin receptor type 2,IC50,=,130.0,nM,CHEMBL757348,B,Inhibitory concentration against human orexin-2 receptor (hOX2R),CHEMBL1136503,O43614,Orexin receptor type 2,IC50,10.1016/j.bmcl.2003.08.038,2003,2003-12-01,COc1cc2c(cc1OC)CN(C(=O)[C@@H](NCc1ccccc1)C(C)(C)C)CC2,6.88605664769316
20,CHEMBL490489,CHEMBL4792,Orexin receptor type 2,IC50,=,8152.0,nM,CHEMBL1007909,B,Inhibition of OX2 receptor,CHEMBL1140924,O43614,Orexin receptor type 2,IC50,10.1021/jm801296d,2009,2009-01-20,COc1ccc(CC2c3cc(OC)c(OC)cc3CCN2CC(=O)NCc2ccccc2)cc1OC,5.08873582900163
21,CHEMBL455136,CHEMBL4792,Orexin receptor type 2,IC50,=,8.0,nM,CHEMBL1007909,B,Inhibition of OX2 receptor,CHEMBL1140924,O43614,Orexin receptor type 2,IC50,10.1021/jm801296d,2009,2009-01-20,CNC(=O)[C@@H](c1ccccc1)N1CCc2cc(OC)c(OC)cc2[C@@H]1CCc1ccc(C(F)(F)F)cc1,8.09691001300806
22,CHEMBL454924,CHEMBL4792,Orexin receptor type 2,IC50,=,14.0,nM,CHEMBL1007909,B,Inhibition of OX2 receptor,CHEMBL1140924,O43614,Orexin receptor type 2,IC50,10.1021/jm801296d,2009,2009-01-20,COc1cc2c(cc1OC)C(CCc1ccc(F)c(F)c1)N(C(C(=O)NCC1CC1)c1ccccc1)CC2,7.85387196432176
23,CHEMBL489686,CHEMBL4792,Orexin receptor type 2,IC50,=,19.0,nM,CHEMBL1007909,B,Inhibition of OX2 receptor,CHEMBL1140924,O43614,Orexin receptor type 2,IC50,10.1021/jm801296d,2009,2009-01-20,CCCCNC(=O)C(c1ccccc1)N1CCc2cc(OC)c(OC)cc2C1CCc1ccc(F)c(F)c1,7.72124639904717
24,CHEMBL489685,CHEMBL4792,Orexin receptor type 2,IC50,=,1536.0,nM,CHEMBL1007909,B,Inhibition of OX2 receptor,CHEMBL1140924,O43614,Orexin receptor type 2,IC50,10.1021/jm801296d,2009,2009-01-20,CCCCNC(=O)C(c1ccccc1)N1CCc2cc(OC)c(OC)cc2C1Cc1ccc(N(C)C)cc1,5.81360878430451
25,CHEMBL490082,CHEMBL4792,Orexin receptor type 2,IC50,=,80.0,nM,CHEMBL1007909,B,Inhibition of OX2 receptor,CHEMBL1140924,O43614,Orexin receptor type 2,IC50,10.1021/jm801296d,2009,2009-01-20,COc1cc2c(cc1OC)C(Cc1ccc3ccccc3c1)N(C(C(=O)NC1CC1)c1ccccc1)CC2,7.09691001300806
26,CHEMBL493016,CHEMBL4792,Orexin receptor type 2,IC50,=,109.0,nM,CHEMBL1007909,B,Inhibition of OX2 receptor,CHEMBL1140924,O43614,Orexin receptor type 2,IC50,10.1021/jm801296d,2009,2009-01-20,COCCNC(=O)C(c1ccccc1)N1CCc2cc(OC)c(OC)cc2C1Cc1ccc2ccccc2c1,6.96257350205938
27,CHEMBL521649,CHEMBL4792,Orexin receptor type 2,IC50,=,1811.0,nM,CHEMBL1007909,B,Inhibition of OX2 receptor,CHEMBL1140924,O43614,Orexin receptor type 2,IC50,10.1021/jm801296d,2009,2009-01-20,CCCCNC(=O)C(c1ccccc1)N1CCc2cc(OC)c(OC)cc2C1Cc1ccc(OC)c(OC)c1,5.74208154968594
28,CHEMBL444407,CHEMBL4792,Orexin receptor type 2,IC50,=,1814.0,nM,CHEMBL1007909,B,Inhibition of OX2 receptor,CHEMBL1140924,O43614,Orexin receptor type 2,IC50,10.1021/jm801296d,2009,2009-01-20,COc1ccc(CC2c3cc(OC)c(OC)cc3CCN2C(C(=O)Nc2ccc3c(c2)OCO3)c2ccccc2)cc1OC,5.74136271727592
29,CHEMBL451281,CHEMBL4792,Orexin receptor type 2,IC50,=,240.0,nM,CHEMBL1007909,B,Inhibition of OX2 receptor,CHEMBL1140924,O43614,Orexin receptor type 2,IC50,10.1021/jm801296d,2009,2009-01-20,COc1cc2c(cc1OC)C(Cc1ccc(Oc3ncccn3)c(OC)c1)N(CC(=O)NCc1ccccc1)CC2,6.61978875828839
30,CHEMBL489884,CHEMBL4792,Orexin receptor type 2,IC50,=,1161.0,nM,CHEMBL1007909,B,Inhibition of OX2 receptor,CHEMBL1140924,O43614,Orexin receptor type 2,IC50,10.1021/jm801296d,2009,2009-01-20,COc1cc2c(cc1OC)C(Cc1ccc(C)c(C)c1)N(CC(=O)NCc1ccccc1)CC2,5.93516778026143
31,CHEMBL489485,CHEMBL4792,Orexin receptor type 2,IC50,=,281.0,nM,CHEMBL1007909,B,Inhibition of OX2 receptor,CHEMBL1140924,O43614,Orexin receptor type 2,IC50,10.1021/jm801296d,2009,2009-01-20,COc1cc2c(cc1OC)C(Cc1ccc(Cl)c(Cl)c1)N(CC(=O)NCc1ccccc1)CC2,6.55129368009492
32,CHEMBL490877,CHEMBL4792,Orexin receptor type 2,IC50,=,6103.0,nM,CHEMBL1007909,B,Inhibition of OX2 receptor,CHEMBL1140924,O43614,Orexin receptor type 2,IC50,10.1021/jm801296d,2009,2009-01-20,COc1cc2c(cc1OC)C(Cc1ccccc1)N(CC(=O)NCc1ccccc1)CC2,5.21445663004341
33,CHEMBL522786,CHEMBL4792,Orexin receptor type 2,IC50,=,4198.0,nM,CHEMBL1007909,B,Inhibition of OX2 receptor,CHEMBL1140924,O43614,Orexin receptor type 2,IC50,10.1021/jm801296d,2009,2009-01-20,COc1cc2c(cc1OC)C(Cc1ccc(C)c(C)c1)N(CC(=O)NC1CCc3ccccc31)CC2,5.37695756575362
34,CHEMBL489284,CHEMBL4792,Orexin receptor type 2,IC50,=,2686.0,nM,CHEMBL1007909,B,Inhibition of OX2 receptor,CHEMBL1140924,O43614,Orexin receptor type 2,IC50,10.1021/jm801296d,2009,2009-01-20,COc1ccc(CC2c3cc(OC)c(OC)cc3CCN2CC(=O)NC2CCc3ccccc32)cc1F,5.5708939916673
35,CHEMBL522927,CHEMBL4792,Orexin receptor type 2,IC50,=,5660.0,nM,CHEMBL1007909,B,Inhibition of OX2 receptor,CHEMBL1140924,O43614,Orexin receptor type 2,IC50,10.1021/jm801296d,2009,2009-01-20,COc1cccc(CC2c3cc(OC)c(OC)cc3CCN2CC(=O)NC2CCc3ccccc32)c1,5.24718356881173
36,CHEMBL493427,CHEMBL4792,Orexin receptor type 2,IC50,=,101.0,nM,CHEMBL1007909,B,Inhibition of OX2 receptor,CHEMBL1140924,O43614,Orexin receptor type 2,IC50,10.1021/jm801296d,2009,2009-01-20,COc1ccc2c(c1)C(NC(=O)CN1CCc3cc(OC)c(OC)cc3C1Cc1ccc(OC)c(OC)c1)CC2,6.99567862621736
37,CHEMBL523963,CHEMBL4792,Orexin receptor type 2,IC50,=,1098.0,nM,CHEMBL1007909,B,Inhibition of OX2 receptor,CHEMBL1140924,O43614,Orexin receptor type 2,IC50,10.1021/jm801296d,2009,2009-01-20,COc1ccc(CC2c3cc(OC)c(OC)cc3CCN2CC(=O)NC2Cc3ccccc3C2)cc1OC,5.95939765988593
38,CHEMBL490484,CHEMBL4792,Orexin receptor type 2,IC50,=,679.0,nM,CHEMBL1007909,B,Inhibition of OX2 receptor,CHEMBL1140924,O43614,Orexin receptor type 2,IC50,10.1021/jm801296d,2009,2009-01-20,COc1ccc(CC2c3cc(OC)c(OC)cc3CCN2CC(=O)NC2CCc3ccccc32)cc1OC,6.1681302257195
39,CHEMBL522975,CHEMBL4792,Orexin receptor type 2,IC50,=,10000.0,nM,CHEMBL1007909,B,Inhibition of OX2 receptor,CHEMBL1140924,O43614,Orexin receptor type 2,IC50,10.1021/jm801296d,2009,2009-01-20,COc1ccc(CC2c3cc(OC)c(OC)cc3CCN2CC(=O)N(C)C2CCCCC2)cc1OC,5.0
40,CHEMBL491468,CHEMBL4792,Orexin receptor type 2,IC50,=,10000.0,nM,CHEMBL1007909,B,Inhibition of OX2 receptor,CHEMBL1140924,O43614,Orexin receptor type 2,IC50,10.1021/jm801296d,2009,2009-01-20,COc1ccc(CC2c3cc(OC)c(OC)cc3CCN2CC(=O)NCc2ccno2)cc1OC,5.0
41,CHEMBL491278,CHEMBL4792,Orexin receptor type 2,IC50,=,10000.0,nM,CHEMBL1007909,B,Inhibition of OX2 receptor,CHEMBL1140924,O43614,Orexin receptor type 2,IC50,10.1021/jm801296d,2009,2009-01-20,COc1ccc(CC2c3cc(OC)c(OC)cc3CCN2CC(=O)NCc2ccncc2)cc1OC,5.0
42,CHEMBL491086,CHEMBL4792,Orexin receptor type 2,IC50,=,10000.0,nM,CHEMBL1007909,B,Inhibition of OX2 receptor,CHEMBL1140924,O43614,Orexin receptor type 2,IC50,10.1021/jm801296d,2009,2009-01-20,COc1ccc(CC2c3cc(OC)c(OC)cc3CCN2CC(=O)NCc2cccnc2)cc1OC,5.0
43,CHEMBL490291,CHEMBL4792,Orexin receptor type 2,IC50,=,10000.0,nM,CHEMBL1007909,B,Inhibition of OX2 receptor,CHEMBL1140924,O43614,Orexin receptor type 2,IC50,10.1021/jm801296d,2009,2009-01-20,COc1ccc(CC2c3cc(OC)c(OC)cc3CCN2CC(=O)NCc2ccccn2)cc1OC,5.0
44,CHEMBL522443,CHEMBL4792,Orexin receptor type 2,IC50,=,10000.0,nM,CHEMBL1007909,B,Inhibition of OX2 receptor,CHEMBL1140924,O43614,Orexin receptor type 2,IC50,10.1021/jm801296d,2009,2009-01-20,COc1ccc(CC2c3cc(OC)c(OC)cc3CCN2CC(=O)N2CCc3ccccc3C2)cc1OC,5.0
45,CHEMBL490290,CHEMBL4792,Orexin receptor type 2,IC50,=,10000.0,nM,CHEMBL1007909,B,Inhibition of OX2 receptor,CHEMBL1140924,O43614,Orexin receptor type 2,IC50,10.1021/jm801296d,2009,2009-01-20,COc1ccc(CC2c3cc(OC)c(OC)cc3CCN2CC(=O)N(C)Cc2ccccc2)cc1OC,5.0
46,CHEMBL490885,CHEMBL4792,Orexin receptor type 2,IC50,=,9499.0,nM,CHEMBL1007909,B,Inhibition of OX2 receptor,CHEMBL1140924,O43614,Orexin receptor type 2,IC50,10.1021/jm801296d,2009,2009-01-20,COc1ccc(CC2c3cc(OC)c(OC)cc3CCN2CC(=O)NC(C)c2ccccc2)cc1OC,5.02232211232601
47,CHEMBL522957,CHEMBL4792,Orexin receptor type 2,IC50,=,10000.0,nM,CHEMBL1007909,B,Inhibition of OX2 receptor,CHEMBL1140924,O43614,Orexin receptor type 2,IC50,10.1021/jm801296d,2009,2009-01-20,COc1ccc(C[C@H]2c3cc(OC)c(OC)cc3CCN2CC(=O)NCCc2ccccc2)cc1OC,5.0
48,CHEMBL490681,CHEMBL4792,Orexin receptor type 2,IC50,=,10000.0,nM,CHEMBL1007909,B,Inhibition of OX2 receptor,CHEMBL1140924,O43614,Orexin receptor type 2,IC50,10.1021/jm801296d,2009,2009-01-20,COc1ccc(CC2c3cc(OC)c(OC)cc3CCN2CC(=O)Nc2ccccc2)cc1OC,5.0
49,CHEMBL2385132,CHEMBL4792,Orexin receptor type 2,IC50,=,2.0,nM,CHEMBL2390635,B,Antagonist activity at OX2 receptor (unknown origin),CHEMBL2384932,O43614,Orexin receptor type 2,IC50,10.1016/j.bmcl.2013.03.079,2013,2013-06-01,CCN(Cc1cccnc1)C(=O)CN(c1ccc(OC)nc1)S(=O)(=O)c1ccccc1C,8.69897000433602
50,CHEMBL142009,CHEMBL4792,Orexin receptor type 2,IC50,=,40.0,nM,CHEMBL2416556,B,Binding affinity to orexin receptor 2 (unknown origin),CHEMBL2412971,O43614,Orexin receptor type 2,IC50,10.1016/j.bmcl.2013.06.057,2013,2013-09-01,COc1cc2c(cc1OC)CN(C(=O)[C@@H](NCc1ccncc1)C(C)(C)C)CC2,7.39794000867204
51,CHEMBL2413367,CHEMBL4792,Orexin receptor type 2,IC50,=,417.0,nM,CHEMBL2416556,B,Binding affinity to orexin receptor 2 (unknown origin),CHEMBL2412971,O43614,Orexin receptor type 2,IC50,10.1016/j.bmcl.2013.06.057,2013,2013-09-01,COc1ccc(C[C@H]2c3cc(OC)c(OC)cc3CCN2[C@@H](C(=O)NC(C)C)c2ccccc2)cc1OC,6.37986394502624
52,CHEMBL2031493,CHEMBL4792,Orexin receptor type 2,IC50,=,447.0,nM,CHEMBL2416556,B,Binding affinity to orexin receptor 2 (unknown origin),CHEMBL2412971,O43614,Orexin receptor type 2,IC50,10.1016/j.bmcl.2013.06.057,2013,2013-09-01,Cc1nc(C(=O)N2CCC[C@@H](C)[C@H]2CNc2nc3ccccc3o2)c(-c2ccccc2)s1,6.34969247686806
53,CHEMBL2031484,CHEMBL4792,Orexin receptor type 2,IC50,=,658.0,nM,CHEMBL2416556,B,Binding affinity to orexin receptor 2 (unknown origin),CHEMBL2412971,O43614,Orexin receptor type 2,IC50,10.1016/j.bmcl.2013.06.057,2013,2013-09-01,Cc1nc(C(=O)N2CCC[C@@H](C)[C@H]2CNC(=O)c2cccc3cccnc23)c(-c2ccc(F)cc2)s1,6.18177410638604
54,CHEMBL2413523,CHEMBL4792,Orexin receptor type 2,IC50,=,23.0,nM,CHEMBL2416556,B,Binding affinity to orexin receptor 2 (unknown origin),CHEMBL2412971,O43614,Orexin receptor type 2,IC50,10.1016/j.bmcl.2013.06.057,2013,2013-09-01,Cc1nc(C(=O)N2CCCC[C@H]2CNC(=O)c2cccc3cccnc23)c(-c2ccc(F)cc2)s1,7.63827216398241
55,CHEMBL2413367,CHEMBL4792,Orexin receptor type 2,IC50,=,417.0,nM,CHEMBL2424458,B,Antagonist activity at OX2 receptor (unknown origin),CHEMBL2417373,O43614,Orexin receptor type 2,IC50,10.1021/jm400720h,2013,2013-08-26,COc1ccc(C[C@H]2c3cc(OC)c(OC)cc3CCN2[C@@H](C(=O)NC(C)C)c2ccccc2)cc1OC,6.37986394502624
56,CHEMBL455136,CHEMBL4792,Orexin receptor type 2,IC50,=,8100.0,nM,CHEMBL2424458,B,Antagonist activity at OX2 receptor (unknown origin),CHEMBL2417373,O43614,Orexin receptor type 2,IC50,10.1021/jm400720h,2013,2013-08-26,CNC(=O)[C@@H](c1ccccc1)N1CCc2cc(OC)c(OC)cc2[C@@H]1CCc1ccc(C(F)(F)F)cc1,5.09151498112135
57,CHEMBL3260823,CHEMBL4792,Orexin receptor type 2,IC50,=,70.0,nM,CHEMBL3267684,B,"Antagonist activity at human orexin-2 receptor expressed in CHO cells assessed as inhibition of Ala-6, 12-induced responses by FLIPR assay",CHEMBL3259632,O43614,Orexin receptor type 2,IC50,10.1016/j.bmcl.2014.03.052,2014,2014-05-01,Cc1ccc(-n2nccn2)c(C(=O)N2CCN(c3ncc4cnn(C)c4n3)CC[C@H]2C)c1,7.15490195998574
58,CHEMBL3260824,CHEMBL4792,Orexin receptor type 2,IC50,=,85.0,nM,CHEMBL3267684,B,"Antagonist activity at human orexin-2 receptor expressed in CHO cells assessed as inhibition of Ala-6, 12-induced responses by FLIPR assay",CHEMBL3259632,O43614,Orexin receptor type 2,IC50,10.1016/j.bmcl.2014.03.052,2014,2014-05-01,Cc1ccc(-n2nccn2)c(C(=O)N2CCN(c3ncc4c(C)nn(C)c4n3)CC[C@H]2C)c1,7.07058107428571
59,CHEMBL3260825,CHEMBL4792,Orexin receptor type 2,IC50,=,280.0,nM,CHEMBL3267684,B,"Antagonist activity at human orexin-2 receptor expressed in CHO cells assessed as inhibition of Ala-6, 12-induced responses by FLIPR assay",CHEMBL3259632,O43614,Orexin receptor type 2,IC50,10.1016/j.bmcl.2014.03.052,2014,2014-05-01,Cc1nn(C)c2nc(N3CC[C@@H](C)N(C(=O)c4ccccc4-n4nccn4)CC3)ncc12,6.55284196865778
60,CHEMBL3260826,CHEMBL4792,Orexin receptor type 2,IC50,=,34.0,nM,CHEMBL3267684,B,"Antagonist activity at human orexin-2 receptor expressed in CHO cells assessed as inhibition of Ala-6, 12-induced responses by FLIPR assay",CHEMBL3259632,O43614,Orexin receptor type 2,IC50,10.1016/j.bmcl.2014.03.052,2014,2014-05-01,Cc1ccc(-n2nccn2)c(C(=O)N2CCN(c3ncc4c(C)coc4n3)CC[C@H]2C)c1,7.46852108295775
61,CHEMBL3260827,CHEMBL4792,Orexin receptor type 2,IC50,=,42.0,nM,CHEMBL3267684,B,"Antagonist activity at human orexin-2 receptor expressed in CHO cells assessed as inhibition of Ala-6, 12-induced responses by FLIPR assay",CHEMBL3259632,O43614,Orexin receptor type 2,IC50,10.1016/j.bmcl.2014.03.052,2014,2014-05-01,Cc1ccc(-n2nccn2)c(C(=O)N2CCN(c3ncc4c(C)c(C)oc4n3)CC[C@H]2C)c1,7.3767507096021
62,CHEMBL3260828,CHEMBL4792,Orexin receptor type 2,IC50,=,35.0,nM,CHEMBL3267684,B,"Antagonist activity at human orexin-2 receptor expressed in CHO cells assessed as inhibition of Ala-6, 12-induced responses by FLIPR assay",CHEMBL3259632,O43614,Orexin receptor type 2,IC50,10.1016/j.bmcl.2014.03.052,2014,2014-05-01,Cc1ccc(-n2nccn2)c(C(=O)N2CCN(c3ncc4c(C)csc4n3)CC[C@H]2C)c1,7.45593195564972
63,CHEMBL3260829,CHEMBL4792,Orexin receptor type 2,IC50,=,160.0,nM,CHEMBL3267684,B,"Antagonist activity at human orexin-2 receptor expressed in CHO cells assessed as inhibition of Ala-6, 12-induced responses by FLIPR assay",CHEMBL3259632,O43614,Orexin receptor type 2,IC50,10.1016/j.bmcl.2014.03.052,2014,2014-05-01,Cc1ccc(-n2nccn2)c(C(=O)N2CCN(c3nc(N)c4c(C)coc4n3)CC[C@H]2C)c1,6.79588001734408
64,CHEMBL3260830,CHEMBL4792,Orexin receptor type 2,IC50,=,210.0,nM,CHEMBL3267684,B,"Antagonist activity at human orexin-2 receptor expressed in CHO cells assessed as inhibition of Ala-6, 12-induced responses by FLIPR assay",CHEMBL3259632,O43614,Orexin receptor type 2,IC50,10.1016/j.bmcl.2014.03.052,2014,2014-05-01,Cc1coc2nc(N3CC[C@@H](C)N(C(=O)c4ccccc4-n4nccn4)CC3)nc(N)c12,6.67778070526608
65,CHEMBL3260831,CHEMBL4792,Orexin receptor type 2,IC50,=,34.0,nM,CHEMBL3267684,B,"Antagonist activity at human orexin-2 receptor expressed in CHO cells assessed as inhibition of Ala-6, 12-induced responses by FLIPR assay",CHEMBL3259632,O43614,Orexin receptor type 2,IC50,10.1016/j.bmcl.2014.03.052,2014,2014-05-01,Cc1ccc(-n2nccn2)c(C(=O)N2CCN(c3nc(N)c4ccsc4n3)CC[C@H]2C)c1,7.46852108295775
66,CHEMBL3260832,CHEMBL4792,Orexin receptor type 2,IC50,=,35.0,nM,CHEMBL3267684,B,"Antagonist activity at human orexin-2 receptor expressed in CHO cells assessed as inhibition of Ala-6, 12-induced responses by FLIPR assay",CHEMBL3259632,O43614,Orexin receptor type 2,IC50,10.1016/j.bmcl.2014.03.052,2014,2014-05-01,C[C@@H]1CCN(c2nc(N)c3ccsc3n2)CCN1C(=O)c1ccccc1-n1nccn1,7.45593195564972
67,CHEMBL3260833,CHEMBL4792,Orexin receptor type 2,IC50,=,35.0,nM,CHEMBL3267684,B,"Antagonist activity at human orexin-2 receptor expressed in CHO cells assessed as inhibition of Ala-6, 12-induced responses by FLIPR assay",CHEMBL3259632,O43614,Orexin receptor type 2,IC50,10.1016/j.bmcl.2014.03.052,2014,2014-05-01,Cc1ccc(-n2nccn2)c(C(=O)N2CCN(c3nc(N)c4cc(C)sc4n3)CC[C@H]2C)c1,7.45593195564972
